COD_RH;     COD_RECONOCIMIENTO;     NOMBRE_RECONOCIMIENTO;     MES_RECONOCIMIENTO;     AÑO_RECONOCIMIENTO;     INSTITUCION_RECONOCIMIENTO
0000154890;9;Matrícula de Honor;;1990;UNIVERSIDAD NACIONAL DE COLOMBIA OFICIAL;
0000155144;1;Ejercicio de la docencia;Mayo;2013;;
0000155144;2;Tiempo de docencia;Junio;2013;;
0000158135;1;Mención laureada a tesis doctoral en Ingeniería - Ingeniería Eléctrica. Método para estudio de resposabilidades en calidad de potencia eléctrica;Ingeniería Eléctrica. Método para estudio;resposabilidades en calidad de potencia eléctrica,UNIVERSIDAD NACIONAL DE COLOMBIA SEDE BOGOTA - Febrerode 2013;;
0000158135;2;Premio Grupo Energía de Bogotá - Fabio Chaparro;Fabio Chaparro,EMPRESA DE ENERGIA DE BOGOTA E E B - Diciembre;2013;;
0000158135;3;Mención Meritoria a Tesis de Maestría;Noviembre;2011;UNIVERSIDAD NACIONAL DE COLOMBIA SEDE BOGOTA;
0000158135;4;IEEE EMC Chapter Founders Award 2008;Agosto;2008;;
0000158135;5;Senior Member;Septiembre;2012;INSTITUTE OF ELECTRICAL AND ELECTRONIC ENGINEERS;
0000158135;6;Beca tipo Sandwich para Doctorado;;2007;SERVICIO DE INTERCAMBIO ACADEMICO ALEMAN;
0000158135;7;Beca - Programa de Becas para estudiantes sobresalientes de Posgrado - Doctorado;Programa;Becas para estudiantes sobresalientes de Posgrado - Doctorado,UNIVERSIDAD NACIONAL DE COLOMBIA OFICIAL - de 2005;;
0000158135;8;Beca - Programa Académicos en Formación - Maestría;Programa Académicos en Formación - Maestría,UNIVERSIDAD NACIONAL DE COLOMBIA OFICIAL -;2003;;
0000158135;9;Mención Meritoria a la tesis de Maestría en Ingeniería - Ingeniería Eléctrica Método para el cálculo de índices de calidad de potencia;Ingeniería Eléctrica Método para el cálculo;índices de calidad de potencia,UNIVERSIDAD NACIONAL DE COLOMBIA OFICIAL - de 2006;;
0000160300;1;distinción meritoria;Octubre;2015;UNIVERSIDAD NACIONAL DE COLOMBIA OFICIAL;
0000160300;2;Matrícula de honor;;1992;UNIVERSIDAD NACIONAL DE COLOMBIA OFICIAL;
0000160300;3;Condonación de prestamo beca;;1998;UNIVERSIDAD NACIONAL DE COLOMBIA OFICIAL;
0000160300;4;Matrícukla de honor;;1994;UNIVERSIDAD NACIONAL DE COLOMBIA OFICIAL;
0000160300;5;Matricula de honor;;1993;UNIVERSIDAD NACIONAL DE COLOMBIA OFICIAL;
0000164267;1;V SEMINARIO DIMA-UN;N,UNIVERSIDAD NACIONAL DE COLOMBIA SEDE BOGOTA - Agosto;2015;;
0000164267;2;Reconocimiento al espírutu innovador UN 2016;Noviembre;2016;UNIVERSIDAD NACIONAL DE COLOMBIA;
0000164267;3;Tenencia de Cargo;Noviembre;2013;UNIVERSIDAD NACIONAL DE COLOMBIA OFICIAL;
0000164267;4;Medalla Mérito Universitario;Agosto;2008;UNIVERSIDAD NACIONAL DE COLOMBIA OFICIAL;
0000164267;5;Medalla al Merito Universitario Profesor Emérito;Septiembre;1997;Profesor Honorario y Maestro Universitario ,UNIVERSIDAD NACIONAL DE COLOMBIA OFICIAL;
0000164267;6;Distinción Especial - Actividades investigativas y de extensión;Actividades investigativas y;extensión,UNIVERSIDAD NACIONAL DE COLOMBIA OFICIAL - Noviembrede 1991;;
0000164267;7;Distinción Meritoria;Octubre;2014;UNIVERSIDAD NACIONAL DE COLOMBIA OFICIAL;
0000164267;8;Tesis Meritoria;;1974;UNIVERSIDAD DE LA AMISTAD MOSCU;
0000164267;9;Premio Abel Morales Docente Destacado;Agosto;2007;ASOCIACION DE INGENIEROS MECANICOS DE LA UNIVERSIDAD NACIONAL AIMUN;
0000164267;10;Maestro Universitario;;1994;UNIVERSIDAD NACIONAL DE COLOMBIA OFICIAL;
0000164267;11;Docencia Excepcional;;1992;UNIVERSIDAD NACIONAL DE COLOMBIA OFICIAL;
0000164267;12;Distinición Meritoria de Investigación;Septiembre;2006;UNIVERSIDAD NACIONAL DE COLOMBIA OFICIAL;
0000177725;1;Spanish-American Association for Open Graduate Education;merican Association for Open Graduate Education,AIESAD -;1993;;
0000177725;2;Research & Teaching Assistant;;2000;EPFL DGR;
0000177725;3;Scientific project reviewer;;2001;ARGENTINEAN SCIENCE TECHNOLOGY PROMOTION AGENCY;
0000182265;1;Premio Davivienda-ECICiencia al mejor artículo inédito en Desarrollo de Infraestructura Nacional;CICiencia al mejor artículo inédito en Desarrollo;Infraestructura Nacional,ESCUELA COLOMBIANA DE INGENIERIA JULIO GARAVITO E C I - Noviembrede 2013;;
0000182265;2;Distinción Meritoria;Abril;2012;UNIVERSIDAD NACIONAL DE COLOMBIA SEDE BOGOTA;
